vocab_size,model,batches,per_batch_mean_s,per_batch_variance_s,per_token_mean_s,per_token_variance_s
30000,NonSquareExponential,32,0.13445942848920822,0.0008136042055867931,4.103376113562263e-06,7.577279634650733e-13
30000,HadamardExponential,32,0.09455610811710358,0.00035809666362118797,2.885623416659655e-06,3.3350350672489775e-13
30000,MultiHeadAttention,32,1.0549607425928116,0.06693273427620716,3.219484688088414e-05,6.233596641217094e-11
50000,NonSquareExponential,32,0.1653808206319809,0.001425203509434203,5.047022114013089e-06,1.3273242017572774e-12
50000,HadamardExponential,32,0.12994935363531113,0.0012127869327342444,3.96573955185886e-06,1.1294958486540657e-12
50000,MultiHeadAttention,32,1.165904089808464,0.07295713615724408,3.558056914698682e-05,6.794662788253658e-11
65000,NonSquareExponential,32,0.17396971583366394,0.0013491869936741452,5.309134394337889e-06,1.2565283045863222e-12
65000,HadamardExponential,32,0.11883601546287537,0.0006156214220736089,3.626587385952007e-06,5.733421277940356e-13
65000,MultiHeadAttention,32,1.1363267675042152,0.05446586220431854,3.46779409028386e-05,5.072528701677782e-11
100000,NonSquareExponential,32,0.1608099564909935,0.001015208100949072,4.907530410491745e-06,9.454862223463804e-13
100000,HadamardExponential,32,0.1221829429268837,0.0006335898348654445,3.7287275063135894e-06,5.900765162570817e-13
100000,MultiHeadAttention,32,1.1075349226593971,0.052723915039735336,3.3799283528423985e-05,4.910297229861406e-11
200000,NonSquareExponential,32,0.16196423768997192,0.0010853641642043499,4.942756277159788e-06,1.0108241478021721e-12
200000,HadamardExponential,32,0.11199606209993362,0.0005254952347470421,3.417848574827076e-06,4.894055749727805e-13
200000,MultiHeadAttention,32,1.1455833837389946,0.06404200666958276,3.496043041195662e-05,5.964376653505747e-11
